"","1","2","3","4"
"(Intercept)",-3.06721138411079,-6.1681144911464,-15.2728109375993,-7.77959427050279
"occupationstatus2",0.291376699738639,0.457129262772126,1.20170037097324,0.170405043860373
"occupationstatus3",-0.352879398125499,0.160194927432604,0.661094932881407,0.128706804860283
"occupationstatus4",0.996135927504042,0.0858291124486468,0.357108125291914,-6.63211974423554
"occupationstatus5",-0.154355007788625,0.625972981456009,0.424099177377286,0.596118781675965
"occupationstatus6",0.137324128193587,0.347519233343021,0.837272267900591,-0.575159248307594
"occupationstatus91",-0.822897925548489,-0.6927021020629,-0.54895855200608,-0.0244502899767136
"activedutyarmedforces-9",-1.14816764951633,-0.196367975718453,-0.51554179153288,-1.66556763750972
"activedutyarmedforces1",0.0584126796477742,0.547947904880689,0.602047433981625,0.297115632209327
"maritalstatus0",-0.664264741431445,0.304880451613301,-1.51466456331811,1.33817510080464
"maritalstatus1",-0.0191321479193209,-0.00278791294877944,-0.760213293289774,-0.216124107454523
"maritalstatus2",-0.0568864847345248,0.556987400469913,-0.383651095556768,0.489408977905165
"maritalstatus3",-0.23240534155508,-0.326312491143291,-1.06387383223871,-0.420329683836966
"maritalstatus4",0.61562738846631,0.348510450728455,0.35326449798689,-0.201167248763269
"maritalstatus5",-1.27039352268315,-1.5021366126416,-8.06535594380209,-8.18549489544138
"education0",1.6792120208225,2.91952283871198,3.29215701946518,0.908130534026555
"education2",0.491499162834139,1.32666361256846,1.13726678788504,0.526557050396602
"education3",-0.0332708571989429,0.973155086106735,0.570977072761189,0.260173590059587
"education4",0.250870000814202,0.830785009226717,1.07047903225511,0.256339711218789
"education5",0.35639596668784,1.02713613650424,0.976082111520659,0.425329759206641
"education6",0.0625552473831416,0.832712066622402,0.651908869374434,0.169372413265143
"hisp_catHispanic",0.121744277738095,-0.0127649074410088,0.0298970555932909,-0.45736730767512
"hisp_catUnknown",0.578283273874254,0.70765993488214,0.530517056364413,0.707499133730555
"race_cat2Others",-0.161647844153303,-0.390750372217465,0.236277723618334,-0.665974724803867
"race_cat2Unknown",0.477166708937891,0.17634369999344,1.73826308937908,0.0605898717297593
"race_cat2White",-0.241404858852093,-0.346186989636505,0.420362081657747,0.0626704951927188
"childreninhh-9",-0.460728058195877,0.26028887951848,-0.603969464215662,0.0349429435956847
"childreninhh1+",-0.0131357344341102,0.00406781444633414,0.3982703595223,-0.103619395467304
"incomerangesHigh",0.610356554673949,0.576687036538687,0.691943290316406,0.709522324970491
"incomerangesMedium",0.326795444650081,0.192801774659315,-0.0480579592032339,0.49229086333003
"incomerangesUnknown",0.780421598244047,0.717941662619219,1.54645197092308,1.02546343920478
"freqgoprovider-9",2.1844298511164,-1.80380556116842,4.08629227551906,-0.170751976058707
"freqgoprovider1",0.235427993143353,-0.296672582009524,4.17257845215906,-1.25526896602724
"freqgoprovider2",0.498917507236161,0.291521208094774,4.79864805098292,-0.451125686598891
"freqgoprovider3",0.197628473765023,0.637236773012876,5.1727115128728,-0.320576487015784
"freqgoprovider4",0.375718942685704,1.14208282665235,5.58777152015685,0.780169761253155
"freqgoprovider5",-0.00801474896788993,1.04576361601275,6.24294902906229,1.65166973513647
"freqgoprovider6",-0.324726437434954,0.500026321051023,5.26867262377651,1.71531064810903
"otherdevtrackhealth-9",1.25725498133622,2.8129274841599,1.44962917833562,1.46897671220496
"otherdevtrackhealth1",0.0652272986082068,0.231311772252173,0.431898517498131,0.935964577902535
"confidentinfosafe0",-6.25599908012191,-5.490560803579,-2.59738411142006,-6.34134168692322
"confidentinfosafe2",0.523021178951242,0.425660286070915,-0.257891440623032,0.189853934077693
"confidentinfosafe3",0.716173779911987,0.555739349590833,0.120423956679305,1.10185117196248
"timesmoderateexerciseHigh",0.0620950942475722,-0.134714111383497,-0.00483938080173011,0.328051215585291
"timesmoderateexerciseLess",-0.171034179137991,-0.473309826444766,-0.209379500510891,-0.523404378674806
"timesmoderateexerciseModerate",-0.148326834674794,0.0971715392033855,-0.0682362373093517,-0.0422239753792318
"timesmoderateexerciseUnknown",-0.465130429495811,-0.39448055191051,0.521590283484994,-8.34086949714365
"mostrecentcheckup22",-0.495506297232293,-0.0240400790350991,0.172431895512245,-0.132728298506907
"mostrecentcheckup23+",-0.364511698651415,-0.509011681004226,-0.669886789905506,-0.629113745098078
"mostrecentcheckup26",-0.239199642366004,-1.27617841033575,-3.6233993791079,0.106303971771346
"totalhousehold2",-0.0499808397209089,-0.568352111186822,0.251175839867317,-0.592655462119316
"totalhousehold3",0.0060849466837483,-0.23150031126673,0.167303855925077,0.350279913787511
"totalhousehold4+",-0.35765878167355,-0.882445085106346,-0.960505690109891,-0.458869025127795
"totalhouseholdUnknown",0.0855110615727501,-0.969140132034239,-0.764101755349635,-0.329166842335296
"agecat30-45",-0.0335176354823962,0.905749286791544,0.772155187393298,0.785614746520229
"agecat45-60",0.231190220342567,0.893489757008964,0.882623414400648,0.906856357945777
"agecatless than 30",-0.131361883202201,1.06461915883096,0.939131589179868,0.936140133042036
"ischronic-9",-0.437427086967279,-1.66772424990456,0.456198307633022,-0.600788545114779
"ischronic1",-0.316901677991895,0.265062182887035,0.792089272869936,0.0443891725647348
"seekinfointernetUnknown",0.091242298462213,0.253669894557695,-0.438568797105284,0.697375609745742
"seekinfointernetUses internet",0.0447446082855243,0.186381604603064,-0.527188749429372,0.295167887146822
"Tech_savvy-9",-0.663273067510632,3.98885023308547,10.3072953793636,3.30753676853801
"Tech_savvy1",0.770829799056345,0.417632384602526,-2.92224030454537,-0.365471683757618
